ID,source,id_str,text,created_at,retweet_count,in_reply_to_user_id_str,favorite_count,is_retweet,android
1,Twitter for iPhone,8.15E+17,"Happy Birthday atDonaldJTrumpJr!
https://t.co/uRxyCD3hBz",Sat Dec 31 18:58:12 +0000 2016,9529,,55601,FALSE,0
2,Twitter for Android,8.15E+17,"Happy New Year to all, including to my many enemies and those who have fought me and lost so badly they just don't know what to do. Love!",Sat Dec 31 13:17:21 +0000 2016,141853,,350860,FALSE,1
3,Twitter for Android,8.15E+17,"Russians are playing atCNN and atNBCNews for such fools - funny to watch, they don't have a clue! atFoxNews totally gets it!",Fri Dec 30 22:18:18 +0000 2016,23213,,84254,FALSE,1
4,Twitter for iPhone,8.15E+17,"Join atAmerIcan32, founded by Hall of Fame legend atJimBrownNFL32 on 1/19/2017 in Washington, D.C.… https://t.co/9WJZ8iTCQV",Fri Dec 30 19:46:55 +0000 2016,7366,,25336,FALSE,0
5,Twitter for Android,8.15E+17,Great move on delay (by V. Putin) - I always knew he was very smart!,Fri Dec 30 19:41:33 +0000 2016,34415,,97669,FALSE,1
6,Twitter for iPhone,8.14E+17,My Administration will follow two simple rules: https://t.co/ZWk0j4H8Qy,Thu Dec 29 14:54:21 +0000 2016,11330,,45609,FALSE,0
7,Twitter for iPhone,8.14E+17,'Economists say Trump delivered hope' https://t.co/SjGBgglIuQ,Wed Dec 28 22:06:28 +0000 2016,13919,,51857,FALSE,0
8,Twitter for Android,8.14E+17,"not anymore. The beginning of the end was the horrible Iran deal, and now this (U.N.)! Stay strong Israel, January 20th is fast approaching!",Wed Dec 28 14:25:11 +0000 2016,34542,,117710,FALSE,1
9,Twitter for Android,8.14E+17,"We cannot continue to let Israel be treated with such total disdain and disrespect. They used to have a great friend in the U.S., but.......",Wed Dec 28 14:19:46 +0000 2016,30237,,106626,FALSE,1
10,Twitter for Android,8.14E+17,Doing my best to disregard the many inflammatory President O statements and roadblocks.Thought it was going to be a smooth transition - NOT!,Wed Dec 28 14:07:13 +0000 2016,31799,,117900,FALSE,1
11,Twitter for Android,8.14E+17,"The U.S. Consumer Confidence Index for December surged nearly four points to 113.7, THE HIGHEST LEVEL IN MORE THAN 15 YEARS! Thanks Donald!",Wed Dec 28 03:10:07 +0000 2016,19159,,78521,FALSE,1
12,Twitter for Android,8.14E+17,"President Obama campaigned hard (and personally) in the very important swing states, and lost.The voters wanted to MAKE AMERICA GREAT AGAIN!",Tue Dec 27 21:52:29 +0000 2016,23222,,99838,FALSE,1
13,Twitter for Android,8.14E+17,"The DJT Foundation, unlike most foundations, never paid fees, rent, salaries or any expenses. 100% of money goes to wonderful charities!",Tue Dec 27 03:06:59 +0000 2016,15256,,67470,FALSE,1
14,Twitter for Android,8.14E+17,"I gave millions of dollars to DJT Foundation, raised or recieved millions more, ALL of which is given to charity, and media won't report!",Tue Dec 27 02:53:20 +0000 2016,17414,,71643,FALSE,1
15,Twitter for iPhone,8.14E+17,The world was gloomy before I won - there was no hope. Now the market is up nearly 10% and Christmas spending is over a trillion dollars!,Mon Dec 26 23:32:28 +0000 2016,30090,,128341,FALSE,0
16,Twitter for Android,8.14E+17,"The United Nations has such great potential but right now it is just a club for people to get together, talk and have a good time. So sad!",Mon Dec 26 21:41:58 +0000 2016,22128,,77746,FALSE,1
17,Twitter for Android,8.13E+17,"President Obama said that he thinks he would have won against me. He should say that but I say NO WAY! - jobs leaving, ISIS, OCare, etc.",Mon Dec 26 21:36:28 +0000 2016,22240,,91300,FALSE,1
18,Twitter for Android,8.13E+17,"Merry Christmas and a very, very, very , very Happy New Year to everyone!",Sun Dec 25 17:48:48 +0000 2016,50193,,212467,FALSE,1
19,Twitter for iPhone,8.13E+17,hashtagMerryChristmas https://t.co/5GgDmJrGMS,Sun Dec 25 12:46:41 +0000 2016,42571,,151610,FALSE,0
20,Twitter for Android,8.13E+17,".atFoxNews - ""Objectified"" tonight at 10:00 P.M. Enjoy!",Sun Dec 25 00:21:08 +0000 2016,1482,,5871,FALSE,1
21,Twitter for iPhone,8.13E+17,Happy hashtagHanukkah https://t.co/UvZwtykV1E,Sat Dec 24 21:44:32 +0000 2016,22072,,84565,FALSE,0
22,Twitter for Android,8.13E+17,"The big loss yesterday for Israel in the United Nations will make it much harder to negotiate peace.Too bad, but we will get it done anyway!",Sat Dec 24 21:33:27 +0000 2016,19826,,83507,FALSE,1
23,Twitter for Android,8.13E+17,".atNBCNews purposely left out this part of my nuclear qoute: ""until such time as the world comes to its senses regarding nukes.""  Dishonest!",Sat Dec 24 20:59:30 +0000 2016,16670,,62856,FALSE,1
24,Twitter for Android,8.12E+17,"Vladimir Putin said today about Hillary and Dems: ""In my opinion, it is humiliating. One must be able to lose with dignity.""  So true!",Sat Dec 24 00:13:02 +0000 2016,31749,,112957,FALSE,1
25,Twitter for Android,8.12E+17,"slaughter you. This is a purely religious threat, which turned into reality. Such hatred! When will the U.S., and all countries, fight back?",Fri Dec 23 21:23:00 +0000 2016,17989,,65946,FALSE,1
26,Twitter for Android,8.12E+17,"The terrorist who killed so many people in Germany said just before crime, ""by God's will we will slaughter you pigs, I swear, we will......",Fri Dec 23 21:17:42 +0000 2016,18801,,51789,FALSE,1
27,Twitter for iPhone,8.12E+17,"As to the U.N., things will be different after Jan. 20th.",Fri Dec 23 20:14:34 +0000 2016,33870,,98907,FALSE,0
28,Twitter for Android,8.12E+17,"my presidency. Isn't this a ridiculous shame? He loves these kids, has raised millions of dollars for them, and now must stop. Wrong answer!",Fri Dec 23 11:58:36 +0000 2016,14571,,64566,FALSE,1
29,Twitter for Android,8.12E+17,"My wonderful son, Eric, will no longer be allowed to raise money for children with cancer because of a possible conflict of interest with...",Fri Dec 23 11:53:05 +0000 2016,15510,,54251,FALSE,1
30,Twitter for Android,8.12E+17,"The so-called ""A"" list celebrities are all wanting tixs to the inauguration, but look what they did for Hillary, NOTHING. I want the PEOPLE!",Fri Dec 23 01:59:58 +0000 2016,31424,,120217,FALSE,1
31,Twitter for Android,8.12E+17,"Based on the tremendous cost and cost overruns of the Lockheed Martin F-35, I have asked Boeing to price-out a comparable F-18 Super Hornet!",Thu Dec 22 22:26:05 +0000 2016,14954,,62693,FALSE,1
32,Twitter for Android,8.12E+17,The United States must greatly strengthen and expand its nuclear capability until such time as the world comes to its senses regarding nukes,Thu Dec 22 16:50:30 +0000 2016,21281,,72946,FALSE,1
33,Twitter for Android,8.12E+17,"Someone incorrectly stated that the phrase ""DRAIN THE SWAMP"" was no longer being used by me. Actually, we will always be trying to DTS.",Thu Dec 22 16:41:52 +0000 2016,19444,,74086,FALSE,1
34,Twitter for iPhone,8.12E+17,The resolution being considered at the United Nations Security Council regarding Israel should be vetoed....cont: https://t.co/s8rXKKZNF1,Thu Dec 22 13:37:04 +0000 2016,10377,,35766,FALSE,0
35,Twitter for Android,8.12E+17,"I met some really great Air Force GENERALS and Navy ADMIRALS today, talking about airplane capability and pricing. Very impressive people!",Thu Dec 22 03:39:33 +0000 2016,13101,,65961,FALSE,1
36,Twitter for Android,8.12E+17,I have not heard any of the pundits or commentators discussing the fact that I spent FAR LESS MONEY on the win than Hillary on the loss!,Wed Dec 21 13:29:38 +0000 2016,20374,,82587,FALSE,1
37,Twitter for Android,8.12E+17,"I would have done even better in the election, if that is possible, if the winner was based on popular vote - but would campaign differently",Wed Dec 21 13:24:29 +0000 2016,12051,,54341,FALSE,1
38,Twitter for Android,8.12E+17,Campaigning to win the Electoral College is much more difficult &amp; sophisticated than the popular vote. Hillary focused on the wrong states!,Wed Dec 21 13:15:14 +0000 2016,16033,,68734,FALSE,1
39,Twitter for Android,8.11E+17,"Yes, it is true - Carlos Slim, the great businessman from Mexico, called me about getting together for a meeting. We met, HE IS A GREAT GUY!",Tue Dec 20 20:27:57 +0000 2016,15663,,68359,FALSE,1
40,Twitter for Android,8.11E+17,"especially how to get people, even with an unlimited budget, out to vote in the vital swing states ( and more). They focused on wrong states",Tue Dec 20 13:09:18 +0000 2016,8936,,42412,FALSE,1
41,Twitter for Android,8.11E+17,"Bill Clinton stated that I called him after the election. Wrong, he called me (with a very nice congratulations). He ""doesn't know much"" ...",Tue Dec 20 13:03:59 +0000 2016,18772,,79039,FALSE,1
